Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,ACPR_Name,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2021-22 Australian Government Funding
The Hammond Care Group EACH Program,"Level 1, 11-23 Judd Avenue",,HAMMONDVILLE,NSW,2170,South West Sydney,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-33.950558,150.959081,"$519,990.89 "
Home Nursing Group Home Care Package Service No 1,"Suite 7, Lvl 1 175 Rusden Street",,ARMIDALE,NSW,2350,New England,Home Care,,,,Home Nursing Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,-30.513188,151.661519,"$5,615,620.88 "
Home Nursing Group Home Care Package Service No 2,"Suite 7, Lvl 1 175 Rusden Street",,ARMIDALE,NSW,2350,New England,Home Care,,,,Home Nursing Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,-30.513188,151.661519,"$416,342.20 "
The Whiddon Group Far North Coast,Summerland Way,,KYOGLE,NSW,2474,Far North Coast,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-28.637812,153.001335,"$616,053.75 "
The Whiddon Group Far North Coast (Grafton),125 Crown Street,,GRAFTON,NSW,2460,Far North Coast,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-29.67613866,152.9454931,"$598,205.81 "
The Whiddon Group Far North Coast (Tweed Heads),139 Minjungbal Drive,,TWEED HEADS SOUTH,NSW,2486,Far North Coast,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-28.20369586,153.5438967,"$1,206,128.20 "
The Whiddon Group Hunter (Redhead),120 Redhead Road,,REDHEAD,NSW,2290,Hunter,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.00885342,151.7108687,"$2,143,211.46 "
The Whiddon Group Mid North Coast (Wingham),12 Primrose Street,,WINGHAM,NSW,2429,Mid North Coast,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-31.86920075,152.3707146,"$726,842.60 "
The Whiddon Group New England,Cameron Street,,NARRABRI,NSW,2390,New England,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-30.32574616,149.7768136,"$1,382,995.97 "
The Whiddon Group South West Sydney (Glenfield),81 Belmont Road,,GLENFIELD,NSW,2167,South West Sydney,Home Care,,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.97702387,150.9002088,"$1,316,603.25 "
Tripoli And Mena CACPs,48-50 Taylor Street,,LAKEMBA,NSW,2195,Inner West,Home Care,,,,Tripoli And Mena Association Limited,Community Based,Major Cities of Australia,-33.91978472,151.0817641,"$2,734,786.24 "
Twofold Aboriginal Corporation,"Jigamy Farm, Princess Highway",,EDEN,NSW,2551,Southern Highlands,Home Care,,,,Twofold Aboriginal Corporation,Community Based,Outer Regional Australia,-36.97957903,149.8928643,"$630,234.55 "
Uniting Care - Shoalhaven,37 Berry Street,,NOWRA,NSW,2541,Illawarra,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.8802749,150.5994037,"$284,051.89 "
Uniting Care- Caroona,43 Phillip Street,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82586195,153.323381,"$66,620.99 "
Uniting Church In Australia - Nareen Gardens,3-5 Farrar Road,,KILLARNEY VALE,NSW,2261,Central Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.36621599,151.461319,"$107,463.02 "
Uniting Church In Australia Property Trust (NSW) Singleton,128 Blaxland Avenue,,SINGLETON,NSW,2330,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.54841,151.166802,"$149,739.17 "
Uniting Community Care Riverina (Wagga Wagga),10  TANDA PLACE,12 Station Place,GLENFIELD PARK,NSW,2650,Riverina/Murray,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-35.13711425,147.3337885,"$22,793.86 "
Uniting to Care - EACH,3-5 Farrar Road,,KILLARNEY VALE,NSW,2261,Central Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.36621599,151.461319,"$30,486.40 "
Uniting to Care - EACHD,3-5 Farrar Road,,KILLARNEY VALE,NSW,2261,Central Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.36621599,151.461319,"$3,113,783.85 "
UnitingCare Ageing - North Coast Region - Caroona Community Services,43 Phillip Street,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82586195,153.323381,"($7,648.85)"
UnitingCare Ageing - North Coast Region - Port Macquarie,436 Oxley Highway,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.44889333,152.8775362,"$37,962.33 "
UnitingCare Ageing - North Coast Region - Port Macquarie EACH,436 Oxley Highway,,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.44889333,152.8775362,"($39,209.98)"
UnitingCare Ageing - North Coast Region - Yamba,4 Freeburn Street,,YAMBA,NSW,2464,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-29.43764173,153.3462784,"$53,523.09 "
UnitingCare Ageing - North Coast Region Nambucca Community Services EACHD,"Shop 5a, Nambucca Plaza",10 Pacific Highway,NAMBUCCA HEADS,NSW,2448,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-30.64397556,152.9949194,"$11,865.25 "
UnitingCare Ageing - North Coast Region Nambucca EACH,"Shop 5a, Nambucca Plaza",10 Pacific Highway,NAMBUCCA HEADS,NSW,2448,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-30.64397556,152.9949194,"$27,215.98 "
UnitingCare Ageing - North Coast Region Nambucca Heads CACPs,"Shop 5a, Nambucca Plaza",10 Pacific Highway,NAMBUCCA HEADS,NSW,2448,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-30.64397556,152.9949194,"$17,749.68 "
UnitingCare Ageing - North Coast Region Tweed Community Services - EACH,Suite 5,34 Oyster Point Road,BANORA POINT,NSW,2486,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-28.21552411,153.552206,"$141,942.82 "
UnitingCare Ageing - North Coast Region Tweed Community Services - EACHD,Suite 5,34 Oyster Point Road,BANORA POINT,NSW,2486,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-28.21552411,153.552206,"$2,347,958.86 "
UnitingCare Ageing - Sydney Region - Homeless,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273,"$100,069.93 "
UnitingCare Ageing - Sydney Region - Housing Linked,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273,"$74,088.74 "
UnitingCare Ageing - Sydney Region - Inner West,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273,"$116,461.91 "
UnitingCare Ageing - Sydney Region - NESB,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273,"$6,078,661.98 "
UnitingCare Ageing - Tweed Community Services,"Suite 5, 34 Oyster Point Road",34 Oyster Point Road,BANORA POINT,NSW,2486,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-28.21552411,153.552206,"$7,918.20 "
UnitingCare Ageing Hunter Community Care - EACH,7 Myall Road,,GARDEN SUBURBS,NSW,2289,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.949343,151.683051,"$150,517.58 "
UnitingCare Ageing Hunter Community Care - EACHD,128 Blaxland Avenue,,SINGLETON,NSW,2330,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.54841,151.166802,"$113,489.22 "
UnitingCare Ageing Illawarra,Unit 2,105 Shellharbour Road,WARILLA,NSW,2528,Illawarra,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-34.55144264,150.8606323,"$290,106.55 "
UnitingCare Ageing Macarthur Community Care,58-60 Menangle Street,Office 4 6 Harper Close,PICTON,NSW,2571,South West Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.16984532,150.6125938,"($6,123.36)"
UnitingCare Ageing Nepean Community Care,4 Lewin Street,,SPRINGWOOD,NSW,2777,Nepean,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576,"$25,209.45 "
UnitingCare Ageing Nepean Community Services,4 Lewin Street,,SPRINGWOOD,NSW,2777,Nepean,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576,"$31,185.09 "
UnitingCare Ageing Nepean Community Services - Dementia,4 Lewin Street,,SPRINGWOOD,NSW,2777,Nepean,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576,"$4,689,391.89 "
UnitingCare Ageing New England - St Andrew's Retirement Village - EACHD,Tribe Street,,TAMWORTH,NSW,2340,New England,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.07208,150.918624,"$2,971,823.82 "
UnitingCare Ageing New England - St Andrew's Retirement Village EACH,Tribe Street,,TAMWORTH,NSW,2340,New England,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.07208,150.918624,"($20,003.23)"
UnitingCare Ageing North Coast Region - Caroona Community Program - EACHD,43 Phillip Street,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82586195,153.323381,"$254,871.61 "
UnitingCare Ageing North Coast Region - Kempsey Community Program - EACH,2 Clarence Street,2 Lee Street,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.4292233,152.9127986,"$15,662.75 "
UnitingCare Ageing North Coast Region - Kempsey Community Program - EACHD,2 Clarence Street,2 Lee Street,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.4292233,152.9127986,"$5,128,497.50 "
UnitingCare Ageing Northern Sydney Region Community Care - EACH,2 Chapman Avenue,,CHATSWOOD,NSW,2067,Northern Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80106,151.181777,"$3,473,558.27 "
UnitingCare Ageing Northern Sydney Region Community Care - EACH Dementia,2 Chapman Avenue,,CHATSWOOD,NSW,2067,Northern Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80106,151.181777,"$89,660.21 "
UnitingCare Ageing Northern Sydney Region Community Care - Northern Beaches,2 Chapman Avenue,,CHATSWOOD,NSW,2067,Northern Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80106,151.181777,"$232,130.35 "
UnitingCare Ageing South West Sydney - EACH,83 Flushcombe Road,,BLACKTOWN,NSW,2148,Western Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.78651278,150.9061651,"$33,858.00 "
UnitingCare Ageing South West Sydney - EACHD,83 Flushcombe Road,,BLACKTOWN,NSW,2148,Western Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.78651278,150.9061651,"$3,881,029.58 "
UnitingCare Ageing Sydney North Region Community Care - Mosman,2 Chapman Avenue,,CHATSWOOD,NSW,2067,Northern Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80106,151.181777,"$83,190.89 "
UnitingCare Ageing Westmead Community Services,7 Helen Street,,WESTMEAD,NSW,2145,Western Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80486812,150.9929074,"$5,334,581.26 "
UnitingCare Ageing Westmead Community Services - Dementia,7 Helen Street,,WESTMEAD,NSW,2145,Western Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80486812,150.9929074,"($38,054.12)"
UnitingCare Community Care - Broken Hill - EACH Dementia,265 Oxide Street,,BROKEN HILL,NSW,2880,Orana Far West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-31.94856965,141.4602505,"$23,220.13 "
UnitingCare Community Care - Miraga CACP,265 Oxide Street,265-271 Oxide Street,BROKEN HILL,NSW,2880,Orana Far West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-31.94856965,141.4602505,"$14,471.08 "
UnitingCare Community Care - Miraga EACH,265 Oxide Street,,BROKEN HILL,NSW,2880,Orana Far West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-31.94856965,141.4602505,"$2,039,565.96 "
UnitingCare Community Care - Orange ATSI,76 Kite Street,,ORANGE,NSW,2800,Central West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-33.28563587,149.0951223,"$8,616.47 "
UnitingCare Community Care - Orange CACP,76 Kite Street,,ORANGE,NSW,2800,Central West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-33.28563587,149.0951223,"$1,733,304.21 "
UnitingCare Community Care - Wagga Wagga,10  TANDA PLACE,12 Station Place,GLENFIELD PARK,NSW,2650,Riverina/Murray,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-35.13711425,147.3337885,"$821,306.24 "
Dubbo UPA Home Care Service,315 Macquarie Street,,DUBBO,NSW,2830,Orana Far West,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-32.26121987,148.6003671,"$3,152,691.53 "
UPA Hunter Region CACPs,100 Lake Road,,WALLSEND,NSW,2287,Hunter,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-32.91254277,151.659999,"$2,017,469.70 "
UPA North Coast Region,1-3/8 Corporation Circuit,,TWEED HEADS SOUTH,NSW,2486,Far North Coast,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-28.20517703,153.538816,"$6,591,700.09 "
UPA Sydney Home Care,123-157 Bungaree Road,,PENDLE HILL,NSW,2145,Western Sydney,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.799621,150.960524,"$729,290.36 "
UPA Orange & Molong CACPs,68 Nile Street,,ORANGE,NSW,2800,Central West,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-33.28034225,149.1132343,"$1,296,743.30 "
UPA Sydney Home Care,Melrose Village,123-157 Bungaree Road,PENDLE HILL,NSW,2145,Western Sydney,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.79989746,150.9596218,"$1,549,210.77 "
Wangary (Warrumbucca) - South West Region,Warrambucca Outlet,Level 3 171-179 Queen Street,CAMPBELLTOWN,NSW,2560,South West Sydney,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.06678442,150.8137652,"$123,490.82 "
Warnervale Wellness Centre,"Suite 2, 215 Albany Street, North",,GOSFORD,NSW,2250,Central Coast,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.42674321,151.3470649,"$1,705,510.82 "
Warrigal Community Care - Goulburn,7 St Aubyn Road,,GOULBURN,NSW,2580,Southern Highlands,Home Care,,,,Warrigal Care,Charitable,Inner Regional Australia,-34.73111125,149.7107337,"$2,173,726.51 "
Warrigal Community Care - Goulburn EACH,7 St Aubyn Road,,GOULBURN,NSW,2580,Southern Highlands,Home Care,,,,Warrigal Care,Charitable,Inner Regional Australia,-34.73111125,149.7107337,"$19,565.90 "
Warrigal Community Care - Goulburn EACH Dementia,7 St Aubyn Road,,GOULBURN,NSW,2580,Southern Highlands,Home Care,,,,Warrigal Care,Charitable,Inner Regional Australia,-34.73111125,149.7107337,"$12,004.12 "
Warrigal Community Care - Illawarra,2 Pine Street,,ALBION PARK RAIL,NSW,2527,Illawarra,Home Care,,,,Warrigal Care,Charitable,Major Cities of Australia,-34.5725931,150.7997503,"$4,023,149.60 "
Warrigal Community Care - Queanbeyan,111 Campbell Street,,QUEANBEYAN,NSW,2620,Southern Highlands,Home Care,,,,Warrigal Care,Charitable,Major Cities of Australia,-35.35606503,149.2277275,"$1,142,106.77 "
Weeroona Village Aged Care Plus Home Care,14 Trebartha Street,,BASS HILL,NSW,2197,South West Sydney,Home Care,,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.89957214,151.0034707,"$3,787,282.82 "
Wenonah Community Care,10 Wenonah Street,,GULGONG,NSW,2852,Orana Far West,Home Care,,,,Gulgong Hostel Association Inc,Community Based,Outer Regional Australia,-32.36416361,149.5412061,"$426,206.25 "
Wesley Home Care South Eastern Sydney,"Level 1, Office 2",29-31 Croydon Street,CRONULLA,NSW,2230,South East Sydney,Home Care,,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-34.0516184,151.1518059,"$2,726,913.34 "
Wesley Home Care Northern Sydney,6 Powells Road,,BROOKVALE,NSW,2100,Northern Sydney,Home Care,,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.76622641,151.2732481,"$2,342,084.60 "
Wesley Mission Homeless CACPS,43 Fourth Avenue,83 Flushcombe Road,BLACKTOWN,NSW,2148,Western Sydney,Home Care,,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.76334313,150.9078066,"$622,176.66 "
Wesley Home Care Western Sydney,43 Fourth Avenue,83 Flushcombe Road,BLACKTOWN,NSW,2148,Western Sydney,Home Care,,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.76334313,150.9078066,"$4,430,718.61 "
Western Plains CACP,66B Cobar Street,,NYNGAN,NSW,2825,Orana Far West,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Remote Australia,-31.563505,147.194393,"$64,186.35 "
Wiradjuri Community Aged Care Packages,Ground Floor,43-45 Johnson Street,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Inner Regional Australia,-35.106895,147.371764,"$300,882.51 "
Wyanga Aboriginal Aged Care Program,35 Cope Street,,REDFERN,NSW,2016,South East Sydney,Home Care,,,,Wyanga Aboriginal Aged Care Program Incorporated,Community Based,Major Cities of Australia,-33.89348457,151.2006477,"$1,504,198.85 "
Jali Aged Care,129 Tamar Street,48 Tama Street,BALLINA,NSW,2478,Far North Coast,Home Care,,,,Jali Local Aboriginal Land Council,Community Based,Inner Regional Australia,-28.86685513,153.5560258,"$707,045.41 "
UPA Yeoval Home Care Service,3-7 Lord Street,,YEOVAL,NSW,2868,Orana Far West,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Outer Regional Australia,-32.75030022,148.6498586,"$149,108.76 "
Life Without Barriers,10 O'Connell Street,,NORTH TAMWORTH,NSW,2340,New England,Home Care,,,,Life Without Barriers,Community Based,Inner Regional Australia,-31.08226148,150.924605,"$467,501.62 "
Kintyre Lodge - Dubbo,2 Glenabbey Drive,,DUBBO,NSW,2830,Orana Far West,Residential,80,,,Kintyre Lodge Pty Ltd,Private Incorporated Body,Inner Regional Australia,-32.273178,148.573601,"$4,716,031.44 "
Arthur Blackburn VC Gardens,821 Ocean Drive,,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,80,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-31.489957,152.903404,"$3,981,168.69 "
KinCare - South East Sydney - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895,"$377,483.92 "
St Patrick's Green,38-48 Chapel Street,,KOGARAH,NSW,2217,South East Sydney,Residential,100,,,Greengate Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.968342,151.135589,"$5,920,896.44 "
KinCare - Inner West - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895,"$1,501,562.70 "
Bupa Clemton Park,1 Tedbury Street,,CLEMTON PARK,NSW,2206,Inner West,Residential,144,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.92354897,151.1037387,"$10,936,412.19 "
Enrich Living Pty Ltd - NSW Northern Sydney,"Unit 5, 5-7 Anella Avenue",1 Richardson Place,CASTLE HILL,NSW,2154,Western Sydney,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.726576,150.980377,"$3,569,736.84 "
KinCare - Western Sydney - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895,"$145,305.44 "
HCP New England,"Ground Level, 462-464 Peel Street",,TAMWORTH,NSW,2340,New England,Home Care,,,,The Benevolent Society,Charitable,Inner Regional Australia,-31.093751,150.933311,"$159,189.80 "
KinCare - South West Sydney - home care packages,"Level 4, Building A",20 Lexington Drive,BELLA VISTA,NSW,2153,Western Sydney,Home Care,,,,KinCare Health Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.73524917,150.9462895,"$785,488.36 "
HammondCare - Western Sydney,"Level 1, 11-23 Judd Avenue",,HAMMONDVILLE,NSW,2170,South West Sydney,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-33.950558,150.959081,"$4,521,238.51 "
UPA HCP - Wagga Wagga,31 Shaw Street,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-35.11411604,147.3551901,"$2,004,497.63 "
ARV Community Services Illawarra,11 Military Road,,PORT KEMBLA,NSW,2505,Illawarra,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-34.47867285,150.9003089,"$103,018.08 "
LiveBetter Services Limited- Riverina Murray NSW,"Unit 3, 20 Banna Avenue",235 Lords Place,GRIFFITH,NSW,2680,Riverina/Murray,Home Care,,,,Livebetter Services Limited,Community Based,Outer Regional Australia,-34.290205,146.061213,"$4,922,066.56 "
Montefiore HomeCare Northern Sydney,120 High Street,,HUNTERS HILL,NSW,2110,Northern Sydney,Home Care,,,,Sir Moses Montefiore Jewish Home,Religious,Major Cities of Australia,-33.82127872,151.139635,"$972,857.46 "
Montefiore HomeCare,37 Dangar Street,,RANDWICK,NSW,2031,South East Sydney,Home Care,,,,Sir Moses Montefiore Jewish Home,Religious,Major Cities of Australia,-33.90514075,151.2400813,"$1,465,670.19 "
ANHF Home Care Packages SES,413 Beamish Street,,CAMPSIE,NSW,2194,Inner West,Home Care,,,,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,-33.91720575,151.1046079,"$1,265,170.04 "
Enrich Living Pty Ltd - NSW South West Sydney,"Unit 5, 5-7 Anella Avenue",1 Richardson Place,CASTLE HILL,NSW,2154,Western Sydney,Home Care,,,,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.726576,150.980377,"$499,472.26 "
At Home Services Feros Care - Northern Sydney NSW,Level 26,44 Market Street,SYDNEY,NSW,2000,South East Sydney,Home Care,,,,Feros Care,Community Based,Major Cities of Australia,-33.87080034,151.2070331,"$631,756.72 "
Life Without Barriers - Far North Coast,2/97 Tamar Street,,BALLINA,NSW,2478,Far North Coast,Home Care,,,,Life Without Barriers,Community Based,Inner Regional Australia,-28.86793627,153.5586183,"$1,032,363.66 "
3Bridges Community Incorporated,1 / 72 Carwar Avenue,,CARSS PARK,NSW,2221,South East Sydney,Home Care,,,,3Bridges Community Limited,Community Based,Major Cities of Australia,-33.989858,151.117328,"$16,382,530.15 "
Community Care (Northern Beaches) Ltd,20 Rodborough Road,,FRENCHS FOREST,NSW,2086,Northern Sydney,Home Care,,,,Community Care (Northern Beaches) Limited,Community Based,Major Cities of Australia,-33.754754,151.248833,"$9,284,423.59 "
RDNS Home Care Packages NSW Illawarra,Illawarra Division of General Practice,"Suite 3, Level 1 336 Keira Street",WOLLONGONG,NSW,2500,Illawarra,Home Care,,,,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,-34.43312716,150.891734,"$2,427,662.90 "
Greenhill Manor,190 Princes Highway,,FIGTREE,NSW,2525,Illawarra,Residential,98,,,Greenhill Manor Pty Limited,Private Incorporated Body,Major Cities of Australia,-34.442995,150.852854,"$6,030,227.91 "
Care Connect Homecare Logan River Valley,"Suite 39, Level 3, 75 Wharf Street",,TWEED HEADS,NSW,2485,Far North Coast,Home Care,,,,Care Connect Ltd,Charitable,Major Cities of Australia,-28.173125,153.54232,"$79,438.64 "
Annecto Western Sydney Level 2,"Level 2, 37-47 St Johns Road",,GLEBE,NSW,2037,South East Sydney,Home Care,,,,annecto Inc,Charitable,Major Cities of Australia,-33.87969429,151.1894402,"$282,423.13 "
St Charbel's Care Centre,2 Waterloo Road,,PUNCHBOWL,NSW,2196,South West Sydney,Residential,75,,,St Charbel's Care Centre Ltd,Religious,Major Cities of Australia,-33.915517,151.055216,"$4,657,159.57 "
Walgett Multi-Purpose Service,141 Fox Street,,WALGETT,NSW,2832,Orana Far West,Multi-Purpose Service,8,,,Western NSW Local Health District,State Government,Remote Australia,-30.031428,148.116026,"$660,427.01 "
Hammond Community Care - Central Coast EACH,"Suite 8, 451 Pacific Highway",1 Cary Street,NORTH GOSFORD,NSW,2250,Central Coast,Home Care,,,,HammondCare,Charitable,Major Cities of Australia,-33.41095636,151.3474371,"$406,172.74 "
Sturt Home Care CACPs,76 Morgan Street,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Inner Regional Australia,-35.11638142,147.3697497,$0.00 
Bupa St Ives,120 Killeaton Street,,ST IVES,NSW,2075,Northern Sydney,Residential,98,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.7272077,151.16426,"$6,431,292.63 "
Bupa Seaforth,550 Sydney Road,,SEAFORTH,NSW,2092,Northern Sydney,Residential,76,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.79722629,151.25097,"$5,150,745.66 "
